,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,204132699.13333333,,12.1
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,24732950.7,,10.3
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,49007295.233333334,,9.9
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,26687280.466666665,,7.8
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,42413462.833333336,,7.8
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,51834669.8,,6.3
6,BTC,Bitcoin,1835.441,,2010-07-13T00:00:00.000Z,,,19956875.0,,,,Crypto,2316281658541.9253,91970.36494662787,5.0
7,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,22311723.066666666,,4.8
8,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,21396607.1,,4.2
9,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,12416574.8,,4.0
10,TSLA,Tesla Inc,1374.917,XNAS,2010-06-29 00:00:00,0001318605,BBG000N9MNX3,3325150000.0,,,US,Common Stock,83945454.86666666,,3.7
11,BRK.B,BERKSHIRE HATHAWAY Class B,1055.217,XNYS,1996-05-09 00:00:00,0001067983,BBG000DWG505,1378545639.0,68131,NE,,Common Stock,5298137.033333333,,2.9
12,ORCL,Oracle Corp,835.168,XNYS,1986-03-12 00:00:00,0001341439,BBG000BQLTW7,2841714000.0,78741,TX,,Common Stock,21581970.6,,2.3
13,JPM,JPMorgan Chase & Co,827.373,XNYS,1969-03-05 00:00:00,0000019617,BBG000DMBXR2,2749750000.0,,,US,Common Stock,7588741.2,,2.3
14,WMT,Walmart Inc.,811.955,XNYS,1970-10-01 00:00:00,0000104169,BBG000BWXBC2,7972851122.0,72716,AR,,Common Stock,18004749.366666667,,2.2
15,LLY,Eli Lilly & Co.,747.188,XNYS,1970-07-09 00:00:00,0000059478,BBG000BNBDC2,946456759.0,46285,IN,,Common Stock,4051501.3,,2.0
16,V,Visa Inc,662.076,XNYS,2008-03-25 00:00:00,0001403161,BBG000PSKYX7,1926600000.0,,,US,Common Stock,6223648.1,,1.8
17,NFLX,Netflix Inc,518.444,XNAS,2002-05-23 00:00:00,0001065280,BBG000CL9VN6,424930000.0,,,US,Common Stock,45460487.93333333,,1.4
18,MA,Mastercard Inc,503.969,XNYS,2006-05-25 00:00:00,0001141391,BBG000F1ZSQ2,904010000.0,,,US,Common Stock,2736644.8333333335,,1.4
19,XOM,Exxon Mobil Corp,490.593,XNYS,1980-03-17 00:00:00,0000034088,BBG000GZQ728,4263250000.0,,,US,Common Stock,13925138.933333334,,1.3
20,JNJ,Johnson & Johnson,459.318,XNYS,1944-09-25 00:00:00,0000200406,BBG000BMHYD1,2408340000.0,,,US,Common Stock,8715439.366666667,,1.2
21,PLTR,Palantir Technologies Inc,416.204,XNAS,2020-09-30 00:00:00,0001321655,BBG000N7QR55,2371340000.0,,,US,Common Stock,55237895.2,,1.1
22,COST,Costco Wholesale Corp,412.161,XNAS,1985-12-05 00:00:00,0000909832,BBG000F6H8W8,443240000.0,,,US,Common Stock,2375468.8,,1.1
23,ABBV,AbbVie Inc,407.192,XNYS,2013-01-02 00:00:00,0001551152,BBG0025Y4RY4,1766560000.0,,,US,Common Stock,5806109.833333333,,1.1
24,HD,Home Depot Inc,374.017,XNYS,1984-04-19 00:00:00,0000354950,BBG000BKZB36,995390000.0,,,US,Common Stock,3937260.6333333333,,1.0
25,BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",368.744,XNYS,2014-09-19 00:00:00,0001577552,BBG006G2JVL2,2384078936.0,,,,ADR,14455417.566666666,,1.0
