,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
0,NVDA,NVIDIA Corp,4450.788,XNAS,1999-01-22 00:00:00,0001045810,BBG000BBJQV0,24300000000.0,,,US,Common Stock,168545242.1109821,,7.8
1,MSFT,Microsoft Corp,3798.051,XNAS,1986-03-13 00:00:00,0000789019,BBG000BPH459,7433170000.0,,,US,Common Stock,45054539.3877215,,6.7
2,AAPL,Apple Inc,3639.902,XNAS,1980-12-12 00:00:00,0000320193,BBG000B9XRY4,14840390000.0,,,US,Common Stock,60703918.48879477,,6.4
3,GOOG,Alphabet Inc. Class C Capital Stock,2872.204,XNAS,2004-08-19 00:00:00,0001652044,BBG009S3NB30,5430000000.0,94043,CA,,Common Stock,25651949.563017033,,5.1
4,GOOGL,Alphabet Inc. Class A Common Stock,2861.078,XNAS,2004-08-19 00:00:00,0001652044,BBG009S39JX6,5817000000.0,94043,CA,,Common Stock,37040929.5330611,,5.0
5,AMZN,Amazon.com Inc,2307.567,XNAS,1997-05-15 00:00:00,0001018724,BBG000BVPV84,10664910000.0,,,US,Common Stock,55357492.554470465,,4.1
6,SPCX,Space Exploration Technologies Corp,2252.583,XNAS,2026-06-12 00:00:00,0001181412,BBG000NQF3Z5,13159200000.0,,,US,Common Stock,194008443.38155675,,4.0
7,META,"Meta Platforms, Inc. Class A Common Stock",1771.813,XNAS,2012-05-18 00:00:00,0001326801,BBG000MM2P62,2168962480.0,94025,CA,,Common Stock,17706920.845705,,3.1
8,AVGO,Broadcom Inc,1533.021,XNAS,2009-08-06 00:00:00,0001730168,BBG00KHY5S69,4722370000.0,,,US,Common Stock,32072679.912893668,,2.7
9,TSM,Taiwan Semiconductor Manufacturing Company Ltd.,1455.650,XNYS,1997-10-08 00:00:00,0001046179,BBG000BD8ZK0,5186523200.0,,,,ADR,13399884.418172399,,2.6
